日期,股票代码,股票名称,昨收,开盘价,最高价,最低价,收盘价,涨跌幅,成交额,板块,换手,量比,市值
2023-06-08,836221.BJ,N易实,5.98,7.5,9.41,7.5,8.32,39.13,140163034.89,汽车零部件,66.55,76763.87,2.1
2023-06-08,836892.BJ,广咨国际,10.69,10.68,13.89,10.6,12.85,20.21,34696829.72,工程咨询服务,8.18,7.08,4.4
2023-06-08,301049.CY,超越科技,19.59,19.69,23.51,19.67,23.51,20.01,97284728.42,环保行业,16.6,2.89,6.0
2023-06-08,300989.CY,蕾奥规划,22.35,23.32,26.82,23.32,26.82,20.0,541425261.51,工程咨询服务,54.3,2.21,10.9
2023-06-08,300921.CY,南凌科技,28.8,34.0,34.56,31.31,34.56,20.0,756090871.69,通信服务,37.07,2.0,21.3
2023-06-08,300675.CY,建科院,15.2,15.5,18.24,15.33,18.24,20.0,517673960.5,工程咨询服务,20.25,9.88,26.8
2023-06-08,300826.CY,测绘股份,14.97,15.18,17.96,15.15,17.96,19.97,271989286.44,工程咨询服务,11.18,4.04,25.0
2023-06-08,688668.KC,鼎通科技,60.09,60.5,71.0,58.33,68.81,14.51,555395285.0,通信设备,25.15,4.14,22.9
2023-06-08,688496.KC,清越科技,18.68,20.5,21.37,19.16,21.3,14.03,598191558.0,电子元件,34.55,1.6,18.3
2023-06-08,300983.CY,尤安设计,30.63,30.62,35.98,30.51,34.57,12.86,168333760.53,工程咨询服务,15.5,12.87,11.1
