股票代码,股票名称,成交价,成交量(手数),成交金额
836221.BJ,N易实,6.94,10,6940.0
301049.CY,超越科技,23.6,81,191160.0
300989.CY,蕾奥规划,18.59,53,98527.0
300921.CY,南凌科技,26.98,60,161880.0
300675.CY,建科院,14.8,101,149480.0
300826.CY,测绘股份,18.16,1306,2371696.0
688668.KC,鼎通科技,55.6,288.75,1605450.0
688496.KC,清越科技,15.71,1002.5499877929688,1575006.0
300081.CY,恒信东方,9.12,1181,1077072.0
301365.CY,矩阵股份,15.45,54,83430.0
603779.SH,威龙股份,8.11,455,369005.0
600975.SH,新五丰,8.96,172,154112.0
002587.SZ,奥拓电子,7.05,792,558360.0
002043.SZ,兔 宝 宝,9.64,208,200512.0
002638.SZ,勤上股份,2.79,476,132804.0
600839.SH,四川长虹,5.3,135754,71949620.0
603097.SH,江苏华辰,19.69,22,43318.0
002261.SZ,拓维信息,18.63,7227,13463901.0
603477.SH,巨星农牧,28.61,27,77247.0
600234.SH,科新发展,6.85,140,95900.0
603829.SH,洛凯股份,14.31,2,2862.0
002889.SZ,东方嘉盛,21.27,618,1314486.0
603918.SH,金桥信息,21.95,1047,2298165.0
603196.SH,日播时尚,16.02,35,56070.0
600822.SH,上海物贸,10.98,184,202032.0
002047.SZ,宝鹰股份,2.77,306,84762.0
603051.SH,鹿山新材,33.18,3,9954.0
605178.SH,时空科技,20.45,24,49080.0
001287.SZ,中电港,24.09,348,838332.0
603335.SH,迪生力,5.94,170,100980.0
605188.SH,国光连锁,8.39,35,29365.0
000070.SZ,特发信息,8.88,6506,5777328.0
600683.SH,京投发展,5.62,830,466460.0
600676.SH,交运股份,4.16,289,120224.0
600159.SH,大龙地产,2.81,772,216932.0
601588.SH,北辰实业,2.03,136,27608.0
300977.CY,深圳瑞捷,19.27,22,42394.0
600791.SH,京能置业,4.24,170,72080.0
000721.SZ,西安饮食,11.4,948,1080720.0
300825.CY,阿尔特,17.2,508,873760.0
300649.CY,杭州园林,17.76,232,412032.0
002009.SZ,天奇股份,13.1,939,1230090.0
300493.CY,润欣科技,8.78,604,530312.0
301041.CY,金百泽,29.63,439,1300757.0
301185.CY,鸥玛软件,26.34,132,347688.0
601789.SH,宁波建工,4.14,217,89838.0
300746.CY,汉嘉设计,9.78,69,67482.0
600416.SH,湘电股份,15.11,155,234205.0
301167.CY,建研设计,16.2,71,115020.0
000928.SZ,中钢国际,6.72,1563,1050336.0
300967.CY,晓鸣股份,14.18,59,83662.0
002192.SZ,融捷股份,62.13,1231,7648203.0
002541.SZ,鸿路钢构,27.51,28,77028.0
301179.CY,泽宇智能,26.39,58,153062.0
688105.KC,诺唯赞,31.04,85.45999908447266,265268.0
300506.CY,名家汇,6.48,72,46656.0
300250.CY,初灵信息,17.78,418,743204.0
002849.SZ,威星智能,17.35,1067,1851245.0
001215.SZ,千味央厨,55.1,38,209380.0
002840.SZ,华统股份,14.64,23,33672.0
688169.KC,石头科技,295.54,5.0,147770.0
300917.CY,特发服务,27.33,219,598527.0
603278.SH,大业股份,10.46,17,17782.0
603180.SH,金牌厨柜,25.76,29,74704.0
688316.KC,青云科技-U,56.0,543.6599731445312,3044496.0
000014.SZ,沙河股份,11.46,754,864084.0
300837.CY,浙矿股份,30.2,53,160060.0
300595.CY,欧普康视,26.18,358,937244.0
300269.CY,联建光电,3.88,420,162960.0
300374.CY,中铁装配,13.81,196,270676.0
300603.CY,立昂技术,9.62,788,758056.0
605580.SH,恒盛能源,10.9,33,35970.0
300778.CY,新城市,14.3,541,773630.0
688158.KC,优刻得-W,16.12,420.9200134277344,678523.0
002922.SZ,伊戈尔,15.28,748,1142944.0
000099.SZ,中信海直,8.34,2565,2139210.0
300498.CY,温氏股份,17.5,86,150500.0
300846.CY,首都在线,13.61,527,717247.0
000048.SZ,京基智农,17.95,1429,2565055.0
300629.CY,新劲刚,17.91,101,180891.0
300500.CY,启迪设计,15.31,57,87267.0
002602.SZ,世纪华通,5.14,3367,1730638.0
833873.BJ,中设咨询,2.86,30,8580.0
600963.SH,岳阳林纸,6.17,97,59849.0
601068.SH,中铝国际,4.65,59,27435.0
300425.CY,中建环能,4.75,1786,848350.0
605180.SH,华生科技,13.22,15,19830.0
603801.SH,志邦家居,21.2,84,178080.0
603357.SH,设计总院,8.86,105,93030.0
601136.SH,首创证券,20.45,3974,8126830.0
001317.SZ,三羊马,38.0,101,383800.0
600313.SH,农发种业,8.09,310,250790.0
600589.SH,*ST榕泰,6.22,36274,22562428.0
000711.SZ,*ST京蓝,1.98,1123,222354.0
300134.CY,大富科技,13.84,18898,26154832.0
300732.CY,设研院,8.93,51,45543.0
002897.SZ,意华股份,37.75,1007,3801425.0
600722.SH,金牛化工,4.67,62,28954.0
300548.CY,博创科技,32.35,868,2807980.0
300605.CY,恒锋信息,14.45,33,47685.0
000976.SZ,ST华铁,2.01,438,88038.0
600675.SH,中华企业,3.49,1678,585622.0
688103.KC,国力股份,49.47,5.0,24735.0
000971.SZ,ST高升,1.95,501,97695.0
002108.SZ,沧州明珠,4.16,293,121888.0
600898.SH,ST美讯,3.42,328,112176.0
002289.SZ,ST宇顺,6.2,1026,636120.0
002902.SZ,铭普光磁,31.2,3044,9497280.0
001236.SZ,弘业期货,11.95,23,27485.0
835305.BJ,云创数据,13.21,39,51519.0
603999.SH,读者传媒,5.95,143,85085.0
301038.CY,深水规院,18.15,128,232320.0
300985.CY,致远新能,28.78,146,420188.0
002567.SZ,唐人神,6.37,681,433797.0
002791.SZ,坚朗五金,47.85,71,339735.0
000525.SZ,ST红太阳,8.21,43,35303.0
002776.SZ,*ST柏龙,1.61,16991,2735551.0
000620.SZ,*ST新联,1.6,337,53920.0
688778.KC,厦钨新能,42.4,7.0,29680.0
301265.CY,华新环保,11.7,378,442260.0
600031.SH,三一重工,15.33,1233,1890189.0
601333.SH,广深铁路,2.72,1523,414256.0
000716.SZ,黑芝麻,6.41,240,153840.0
000929.SZ,兰州黄河,9.34,73,68182.0
605289.SH,罗曼股份,33.62,67,225254.0
000786.SZ,北新建材,29.3,92,269560.0
300564.CY,筑博设计,12.48,66,82368.0
000158.SZ,常山北明,10.2,33815,34491300.0
002061.SZ,浙江交科,3.85,1591,612535.0
301012.CY,扬电科技,21.01,6,12606.0
000838.SZ,财信发展,3.24,461,149364.0
000736.SZ,中交地产,11.43,245,280035.0
002129.SZ,TCL中环,21.98,1698,3732204.0
002305.SZ,南国置业,2.09,923,192907.0
301378.CY,通达海,51.17,10,51170.0
300369.CY,绿盟科技,9.9,178,176220.0
601186.SH,中国铁建,8.18,1257,1028226.0
301136.CY,招标股份,13.68,107,146376.0
603617.SH,君禾股份,7.74,453,350622.0
600743.SH,华远地产,1.65,1531,252615.0
300044.CY,赛为智能,5.0,3448,1724000.0
301266.CY,宇邦新材,48.33,62,299646.0
300911.CY,亿田智能,37.17,45,167265.0
603648.SH,畅联股份,8.98,102,91596.0
300025.CY,华星创业,16.82,893,1502026.0
688343.KC,云天励飞-U,50.0,581.739990234375,2908700.0
603569.SH,长久物流,15.48,454,702792.0
600266.SH,城建发展,6.08,2438,1482304.0
000610.SZ,西安旅游,14.2,345,489900.0
301429.CY,森泰股份,22.2,31,68820.0
