涨停日期,股票代码,股票名称,开盘价(元),竞价涨幅,竞价成交量(手),竞价金额(元),竞价金额与昨日成交金额占比
2023-11-14,688609.KC,九联科技,13.1,11.58,70903,92883206,
2023-11-14,003032.SZ,传智教育,16.78,10.03,9660,16209480,
2023-11-14,601022.SH,宁波远洋,13.19,10.01,12975,17114025,
2023-11-14,600119.SH,长江投资,9.68,10.0,116914,113172752,
2023-11-14,605086.SH,龙高股份,32.92,9.99,1786,5879512,
2023-11-14,002988.SZ,豪美新材,37.77,9.99,13494,50966838,
2023-11-14,603528.SH,多伦科技,10.47,9.98,67478,70649466,
2023-11-14,002786.SZ,银宝山新,9.97,8.72,81415,81170755,
2023-11-14,001300.SZ,三柏硕,15.76,8.32,29664,46750464,
2023-11-14,002512.SZ,达华智能,5.86,6.93,132676,77748136,
2023-11-14,301448.CY,开创电气,40.0,6.3,5762,23048000,
2023-11-14,000503.SZ,国新健康,13.38,5.27,48411,64773918,
2023-11-14,603926.SH,铁流股份,13.09,4.47,6337,8295133,
2023-11-14,603388.SH,元成股份,9.46,3.96,34094,32252924,
2023-11-14,603335.SH,迪生力,7.45,3.91,13526,10076870,
2023-11-14,603162.SH,海通发展,18.5,3.76,6898,12761300,
2023-11-14,000908.SZ,景峰医药,3.72,3.62,44348,16497456,
2023-11-14,605180.SH,华生科技,15.93,3.51,3371,5370003,
2023-11-14,002413.SZ,雷科防务,6.7,3.4,145466,97462220,
2023-11-14,002599.SZ,盛通股份,8.0,2.7,46486,37188800,
2023-11-14,002777.SZ,久远银海,28.19,2.58,13437,37878903,
2023-11-14,603918.SH,金桥信息,22.98,2.22,18771,43135758,
2023-11-14,600239.SH,云南城投,3.04,2.01,35058,10657632,
2023-11-14,301236.CY,软通动力,45.98,1.93,45327,208413546,
2023-11-14,600326.SH,西藏天路,6.0,1.87,25759,15455400,
2023-11-14,600316.SH,洪都航空,22.2,1.09,6752,14989440,
2023-11-14,600844.SH,丹化科技,3.17,0.96,14355,4550535,
2023-11-14,002593.SZ,日上集团,4.5,0.9,44162,19872900,
2023-11-14,000056.SZ,皇庭国际,5.0,0.6,128373,64186500,
2023-11-14,002181.SZ,粤传媒,5.3,0.38,57234,30334020,
2023-11-14,002757.SZ,南兴股份,16.56,0.0,17284,28622304,
2023-11-14,603073.SH,彩蝶实业,22.17,-0.31,1648,3653616,
2023-11-14,603009.SH,北特科技,12.38,-0.32,7051,8729138,
2023-11-14,001206.SZ,依依股份,17.4,-0.4,1760,3062400,
2023-11-14,002193.SZ,如意集团,7.25,-0.41,12181,8831225,
2023-11-14,001368.SZ,通达创智,26.88,-0.55,1289,3464832,
2023-11-14,000572.SZ,海马汽车,5.34,-1.11,75620,40381080,
2023-11-14,000936.SZ,华西股份,9.56,-2.45,32026,30616856,
2023-11-14,600792.SH,云煤能源,5.07,-6.46,51102,25908714,
2023-11-14,002584.SZ,西陇科学,7.92,-10.0,161868,128199456,
2023-11-15,300609.CY,汇纳科技,38.96,17.81,63666,248042736,28.00%
2023-11-15,002178.SZ,延华智能,5.79,10.08,54762,31707198,14.00%
2023-11-15,603002.SH,宏昌电子,6.99,10.08,35785,25013715,12.00%
2023-11-15,000056.SZ,皇庭国际,6.02,10.05,45785,27562570,4.00%
2023-11-15,300608.CY,思特奇,19.61,10.04,30114,59053554,7.00%
2023-11-15,603528.SH,多伦科技,11.52,10.03,9763,11246976,6.00%
2023-11-15,003032.SZ,传智教育,18.46,10.01,12846,23713716,20.00%
2023-11-15,603496.SH,恒为科技,38.89,10.01,12324,47928036,3.00%
2023-11-15,605086.SH,龙高股份,36.21,9.99,3375,12220875,48.00%
2023-11-15,002512.SZ,达华智能,6.63,9.95,253134,167827842,40.00%
2023-11-15,002881.SZ,美格智能,32.22,8.01,11443,36869346,9.00%
2023-11-15,002786.SZ,银宝山新,10.87,7.73,68265,74204055,5.00%
2023-11-15,688609.KC,九联科技,15.04,6.74,61162,91988670,6.00%
2023-11-15,600775.SH,南京熊猫,11.89,6.35,61669,73324441,7.00%
2023-11-15,600520.SH,文一科技,40.5,5.22,19374,78464700,4.00%
2023-11-15,603991.SH,至正股份,56.0,4.75,3251,18205600,5.00%
2023-11-15,002908.SZ,德生科技,13.36,4.54,8352,11158272,3.00%
2023-11-15,002657.SZ,中科金财,23.38,4.19,26362,61634356,5.00%
2023-11-15,000550.SZ,江铃汽车,19.66,3.26,6567,12910722,2.00%
2023-11-15,002682.SZ,龙洲股份,6.34,3.09,36234,22972356,4.00%
2023-11-15,603701.SH,德宏股份,14.72,3.08,2292,3373824,2.00%
2023-11-15,002654.SZ,万润科技,16.06,3.01,66332,106529192,4.00%
2023-11-15,000536.SZ,华映科技,4.27,2.89,151494,64687938,5.00%
2023-11-15,600817.SH,宇通重工,10.4,2.77,5651,5877040,4.00%
2023-11-15,000766.SZ,通化金马,14.33,2.58,34575,49545975,3.00%
2023-11-15,002988.SZ,豪美新材,38.48,1.88,12791,49219768,23.00%
2023-11-15,600126.SH,杭钢股份,5.04,1.82,30596,15420384,3.00%
2023-11-15,600246.SH,万通发展,6.83,1.64,19594,13382702,2.00%
2023-11-15,603726.SH,朗迪集团,16.92,1.2,12454,21072168,6.00%
2023-11-15,001300.SZ,三柏硕,16.2,1.19,26650,43173000,18.00%
2023-11-15,000572.SZ,海马汽车,5.99,0.84,60923,36492877,2.00%
2023-11-15,002222.SZ,福晶科技,35.61,0.79,33200,118225200,6.00%
2023-11-15,002845.SZ,同兴达,21.25,0.14,22270,47323750,4.00%
2023-11-15,601022.SH,宁波远洋,13.19,0.0,82992,109466448,129.00%
2023-11-15,003029.SZ,吉大正元,23.84,0.0,6154,14671136,8.00%
2023-11-15,603307.SH,扬州金泉,48.8,-0.51,1256,6129280,5.00%
2023-11-15,603687.SH,大胜达,11.61,-1.36,13937,16180857,4.00%
2023-11-15,301448.CY,开创电气,43.5,-3.68,7121,30976350,6.00%
