涨停日期,股票代码,股票名称,收盘价,首次涨停时间,最后涨停时间,连板情况,是否连板,涨停类型,涨停原因,成交金额,换手率,封单额,封单量,涨幅,流通市值,是否新股,近一年涨停封板率,开板次数
2023-01-03,000045.SZ,深纺织A,12.2,09:01:00,09:01:00,首板,0.0,一字板,拟购买股权+偏光片+虚拟现实+物业管理,1785万,0.32,1.119亿,9.17万手,10.01,55亿,0,0.62,
2023-01-03,002235.SZ,安妮股份,8.15,09:01:00,09:01:00,4天4板,0.0,一字板,数据确权+数字经济+文化传媒+Web3.0,9523万,2.13,3.137亿,38.5万手,9.99,44亿,0,0.57,
2023-01-03,002826.SZ,易明医药,11.21,09:01:00,09:01:00,首板,0.0,一字板,蒙脱石散+中医药+仿制药,2263万,1.15,6026万,5.38万手,10.01,19亿,0,0.5,
2023-01-03,300086.CY,康芝药业,7.46,09:01:00,09:01:39,首板,1.0,T字板,蒙脱石散+中医药+新冠治疗+流感,3.087亿,9.54,8934万,12.0万手,19.94,32亿,0,0.8,1.0
2023-01-03,600223.SH,鲁商发展,11.65,09:01:00,09:01:09,首板,1.0,换手板,剥离房地产业务+医美+养老+中医药,4.686亿,4.01,2666万,2.29万手,10.01,118亿,0,1.0,5.0
2023-01-03,000419.SZ,通程控股,8.54,09:01:00,10:01:03,3天3板,1.0,T字板,新零售+预制菜+国企改革,11.67亿,25.15,4778万,5.6万手,10.05,46亿,0,0.77,7.0
2023-01-03,603998.SH,方盛制药,8.81,09:01:02,09:01:02,首板,0.0,一字板,蒙脱石散+中医药+眼科医疗,7094万,1.88,2.281亿,25.9万手,9.99,37亿,0,0.55,
2023-01-03,600785.SH,新华百货,20.39,09:01:02,09:01:39,3天3板,1.0,T字板,新零售+商超百货+智能物流,7706万,1.69,3383万,1.66万手,9.98,46亿,0,1.0,1.0
2023-01-03,603912.SH,佳力图,13.82,09:01:07,09:01:07,4天2板,0.0,换手板,数据中心+云计算+5G,2.638亿,6.48,5653万,4.09万手,10.03,41亿,0,0.79,
2023-01-03,002231.SZ,奥维通信,9.1,09:01:09,09:01:09,2天2板,0.0,换手板,拟投建HJT+军工+国产替代,1.872亿,7.0,9185万,10.1万手,10.04,26亿,0,0.86,
2023-01-03,002827.SZ,高争民爆,10.33,09:01:09,09:01:09,首板,0.0,换手板,民爆+西藏国企,6984万,2.49,4403万,4.26万手,10.01,28亿,0,1.0,
2023-01-03,002317.SZ,众生药业,29.69,09:01:09,10:01:48,首板,1.0,换手板,新冠特效药+流感+医药+熊去氧胆酸,22.52亿,10.9,1.527亿,5.14万手,10.0,209亿,0,0.63,6.0
