涨停日期,股票代码,股票名称,涨停情况,开盘价(元),竞价涨幅,竞价成交量(手),竞价金额(元),竞价金额与昨日成交金额占比,昨日涨幅,收盘价(元),今日涨幅
2024-11-26,603365.SH,水星家纺,,15.54,-3.78,1351,2099454,1.00%,9.2,16.6,2.79
2024-11-26,002819.SZ,东方中科,,31.93,0.0,6785,21664505,3.00%,7.33,32.32,1.22
2024-11-26,002333.SZ,罗普斯金,,5.93,0.68,7445,4414885,2.00%,7.88,5.75,-2.38
2024-11-26,002642.SZ,荣联科技,,8.0,-0.87,9927,7941600,1.00%,7.03,7.86,-2.6
2024-11-26,002895.SZ,川恒股份,,22.5,0.45,1375,3093750,1.00%,7.74,21.78,-2.77
2024-11-26,603319.SH,湘油泵,,26.03,-1.92,1709,4448527,1.00%,8.06,25.72,-3.09
2024-11-26,600576.SH,祥源文旅,,6.73,-1.61,10646,7164758,2.00%,9.09,6.58,-3.8
2024-11-26,002722.SZ,物产金轮,,16.41,-3.07,4337,7117017,2.00%,9.37,16.24,-4.08
2024-11-26,002339.SZ,积成电子,,7.6,-2.19,20785,15796600,2.00%,10.06,7.43,-4.38
2024-11-26,000698.SZ,沈阳化工,,3.84,-2.29,13068,5018112,2.00%,6.79,3.75,-4.58
2024-11-26,600182.SH,S佳通,,17.5,-2.18,5931,10379250,3.00%,-4.99,17.0,-4.97
2024-11-26,605136.SH,丽人丽妆,,8.5,-1.96,5189,4410650,1.00%,5.09,8.19,-5.54
2024-11-26,600135.SH,乐凯胶片,,7.3,-7.59,13817,10086410,2.00%,10.03,7.46,-5.57
2024-11-26,600104.SH,上汽集团,,18.76,-3.79,40787,76516412,1.00%,8.45,18.37,-5.79
2024-11-26,300291.CY,百纳千成,,6.28,-1.26,39523,24820444,3.00%,15.01,5.97,-6.13
2024-11-26,002893.SZ,京能热力,,11.7,-4.65,5553,6497010,2.00%,6.14,11.49,-6.36
2024-11-26,600283.SH,钱江水利,,10.48,-2.69,4364,4573472,1.00%,10.01,10.01,-7.06
2024-11-26,000925.SZ,众合科技,,7.85,-2.24,15621,12262485,2.00%,8.96,7.43,-7.47
2024-11-26,603908.SH,牧高笛,,25.88,-3.97,1553,4019164,1.00%,9.46,24.85,-7.79
2024-11-26,301060.CY,兰卫医学,,11.02,-4.26,12277,13529254,3.00%,15.33,10.6,-7.91
2024-11-26,603108.SH,润达医疗,,19.75,-3.19,9388,18541300,1.00%,5.32,18.48,-9.41
2024-11-26,600506.SH,统一股份,,16.18,-6.2,12659,20482262,2.00%,0.82,15.53,-9.97
2024-11-26,000969.SZ,安泰科技,,13.3,-1.41,53912,71702960,2.00%,2.59,12.14,-10.01
2024-11-26,002354.SZ,天娱数科,,5.49,-6.79,117115,64296135,2.00%,7.09,5.3,-10.02
2024-11-26,600728.SH,佳都科技,,5.6,-3.28,108840,60950400,2.00%,5.08,5.21,-10.02
